beta_0,beta_1,sigma,log_lik
3.0539503,-0.11493118,2.4677286,-7.7506796
4.1516191,-0.32854393,2.6757284,-8.0340378
4.1686379,-0.36025144,2.7907917,-8.192054
4.7276944,-0.19129536,1.8358185,-7.3334722
0.80021814,0.52606888,0.6488942,-5.5580511
1.0791657,0.56818885,0.62487484,-4.1014808
-1.4222994,1.2930179,0.52737291,-3.4482171
-1.2934494,1.3343198,0.48399673,-3.7506345
0.40448992,0.84822191,0.69973522,-3.6407942
1.8331777,0.39325626,0.83319074,-4.5691098
1.2705238,0.41094332,0.85225544,-5.1635228
1.5685841,0.58417214,0.86844131,-4.7176772
0.13737027,0.77546472,0.82070649,-4.2312748
-0.66564663,1.233645,0.60779266,-4.3292628
-1.4357711,1.1667829,0.54346063,-5.3307522
-0.46840363,0.99654414,0.47006485,-3.5393371
-0.28335008,1.0085424,0.4571107,-3.2688933
-0.28335008,1.0085424,0.4571107,-3.2688933
-0.45076026,1.0599877,0.94914902,-4.0960706
-0.058025097,0.85324494,1.0597429,-4.590396
-1.6374593,1.4331982,0.83005302,-4.0524355
-1.383623,1.3998763,0.59654619,-4.0523469
-3.694755,1.9670899,0.86955835,-5.1783395
-3.8969494,1.9118487,0.85118681,-5.5621561
-3.1222743,1.8804534,0.87006634,-5.0572168
1.6982259,0.50826202,0.72096166,-4.5200128
0.1535875,0.96152793,0.64962228,-3.784708
-0.041083003,0.98650559,0.66428641,-3.5246822
-3.616451,1.8958958,0.96537191,-5.1443179
-3.6119868,1.8897596,0.95241057,-5.1376229
-4.5370486,2.2596344,0.94504237,-6.0617746
-2.3770706,1.5567382,1.1546224,-4.9273711
-4.969625,2.1970238,1.0725729,-6.2971822
-3.7755729,2.0484684,0.82290477,-5.531956
2.8311147,0.048160181,0.63707509,-6.5645975
3.0159972,0.13584015,0.63395639,-6.4322575
1.72271,0.39980196,1.8862197,-6.5293434
1.693385,0.6301778,1.4777755,-6.0629766
-0.78611173,0.93184458,1.6262409,-6.242225
-0.002363331,1.2016219,1.2785155,-6.2140748
-0.55970641,1.259336,0.58368686,-5.6469718
-0.94112484,1.2721348,0.57878185,-3.8349416
-3.265846,1.8842091,0.81422648,-4.9567381
-3.2169099,1.8593108,0.79404365,-4.8699713
0.45738312,0.78422253,0.56395161,-3.465808
0.11600238,0.73863009,0.56221461,-5.1206577
-0.04271251,0.85430329,0.62756145,-3.7065001
-1.1093857,1.1025549,0.65567509,-4.2803757
-0.36381289,1.1298776,0.5853442,-4.0284816
-0.8340984,1.0943686,0.5979411,-3.4445843
-0.52006871,1.1454168,0.56999796,-3.651358
-0.37120795,1.2087994,0.56543441,-5.8352022
-2.7129959,1.5300653,0.99006487,-5.1704563
-4.7854841,2.4179755,1.4542686,-6.6621504
0.98859131,0.52989411,0.52067421,-5.3337103
1.3808431,0.6309692,0.52541458,-5.142812
1.0866534,0.71224434,0.54218009,-4.6823124
-0.26255808,0.92594657,0.47849361,-3.7302207
0.23298591,0.86362793,0.82082725,-3.8060349
1.6547905,0.35692521,0.66915237,-5.0622997
-4.4871582,2.0736992,0.95338083,-5.9681954
-2.8146441,1.6339094,0.72684474,-4.6069454
-2.5323933,1.8387578,0.69501384,-6.721734
-2.4564402,1.6467217,0.63736153,-4.2939226
-1.1619451,1.2190097,0.3960815,-3.876792
-1.1619451,1.2190097,0.3960815,-3.876792
-1.1619451,1.2190097,0.3960815,-3.876792
-1.1619451,1.2190097,0.3960815,-3.876792
-1.5602397,1.3973955,0.60934012,-3.6268102
-1.0326048,1.2126507,0.55032455,-3.2232038
-0.67397473,1.2324061,0.53399822,-4.5150524
-0.2200511,0.91541205,0.4993404,-3.6493586
-0.40249882,0.95480184,0.60669688,-3.6261642
-0.84731052,0.99185949,1.0904847,-5.068323
0.025122917,1.0630343,0.87976168,-4.6359542
-0.77369687,1.0042759,0.66305477,-4.3021776
0.35814717,0.90312474,0.64143385,-3.8366672
-0.30548533,0.97555389,0.65914738,-3.3677962
-1.0984998,1.2268676,0.64574045,-3.3470501
0.75589992,0.71411961,0.5602022,-3.6671177
-0.18555582,0.86125336,0.54465924,-4.2476563
0.035229348,0.78377498,0.75344105,-4.3272762
-2.186206,1.536964,0.51822033,-4.1458694
-1.88403,1.4422619,0.52347363,-3.784045
-1.6774197,1.5126059,0.46454039,-5.7476599
-2.4113816,1.4464899,1.0837034,-5.1804854
-0.1699763,0.90927814,0.46357611,-3.6946131
-0.35178349,1.0636148,0.43997665,-3.5656799
-0.71711826,1.2148311,0.40217391,-4.9361698
-1.2652787,1.3115129,0.43913568,-3.787479
1.6005418,0.45300593,0.73879039,-4.3522026
-2.3316927,1.6146634,0.66676662,-4.1762783
-1.6981081,1.4928613,0.68073935,-4.2185906
-2.8059883,1.7847122,0.86586418,-4.7996405
-3.3218842,1.8160992,0.90128037,-4.8970694
-3.3364682,1.8261838,0.78648929,-4.8697284
-1.0373636,1.1413971,0.99144516,-4.3496203
1.0020022,0.64451242,1.3134137,-5.2259654
0.73141145,0.37904338,1.054928,-7.1898005
0.53711379,0.48220199,1.1028719,-6.3957167
3.1728765,-0.11697077,1.2768619,-6.2569525
3.2085869,0.11509861,1.307956,-5.9610444
0.99180791,0.58635042,1.2545376,-5.1493454
1.2841419,0.78465375,1.3523895,-6.0043056
-1.5964347,1.5231596,0.95939189,-4.9571584
-2.0657223,1.4217268,0.81062859,-4.2179574
-1.9523022,1.5080136,0.81923896,-4.0971038
-0.8893768,1.2259117,0.80932947,-3.8391019
-0.88597619,1.2486795,0.49521109,-3.9052559
-0.95985682,1.0917179,0.78591357,-4.013875
0.020672422,1.0055897,0.70315641,-3.8652632
-4.6954433,2.3346923,1.4803522,-6.4440482
-4.0793257,2.126171,0.85786459,-5.7280008
-3.797362,2.0988486,1.1714345,-5.799812
-2.22956,1.5485396,0.82508049,-4.1498838
-0.53561907,1.1336883,1.2172033,-4.9105035
-2.6556047,1.59359,0.85854767,-4.5409889
-2.5792909,1.5953983,0.80060336,-4.349637
-1.207879,1.2566357,0.67554777,-3.4338027
-2.4993119,1.4519757,0.61537375,-5.8579975
-0.060599223,0.74088876,0.63106477,-5.7855904
0.51964492,0.80313024,0.67097946,-3.5994997
-0.24996253,1.0296957,0.90789912,-4.0253158
-0.14545249,1.0501656,0.85015649,-4.0917936
-0.2061337,1.0373986,0.84739744,-3.9290324
-4.8035917,2.4801503,1.1410596,-7.0954029
-4.9959222,2.513574,1.1623556,-7.0207983
-4.0549862,1.964593,1.8080261,-6.6271357
-4.2776741,2.0758908,1.8587512,-6.7177821
-4.1025138,2.207326,1.9135101,-6.9351952
-4.444113,2.2092427,2.1674757,-7.2305101
-6.3091138,2.1702495,1.7633425,-9.0870259
-5.8467064,2.2303351,2.2919418,-8.0536424
-2.7838388,1.4785401,1.3363084,-6.0423786
0.08825588,0.75558796,0.5799618,-4.8028371
0.28441617,0.98379175,0.60479814,-4.7183341
-0.18178333,0.99680958,0.6566616,-3.3583623
0.041212793,0.98623832,0.89019405,-4.1391493
-1.2480836,1.3947111,0.85318283,-4.4579024
-0.28031761,1.0811882,0.61180613,-3.6759638
-0.20198409,1.0141285,0.61290909,-3.3284934
-0.23244297,1.0388607,0.64892295,-3.4652649
-1.0793415,1.2895579,0.62296842,-3.6257054
0.83586395,0.68018793,0.88677339,-4.148237
3.6308508,-0.19794092,0.99735407,-6.3183851
3.5626133,-0.17199052,0.94836024,-6.2887523
1.4400194,0.58179463,1.8347014,-6.4062036
